image_number	 T_ORF	 image_number	
cell_id	 T_ORF	 cell_id	
Cgroup	 T_ORF	 Cgroup	
Agroup	 T_ORF	 Agroup	
C11-1_C	 T_CONA_BASIC	 C11-1
C11-2_C	 T_CONA_BASIC	 C11-2
C12-1_C	 T_CONA_BASIC	 C12-1
C12-2_C	 T_CONA_BASIC	 C12-2
C13_C	 T_CONA_BASIC	 C13
C101_C	 T_CONA_BIOLOGICAL	 C101
C102_C	 T_CONA_BIOLOGICAL	 C102
C103_C	 T_CONA_BIOLOGICAL	 C103
C104_C	 T_CONA_BIOLOGICAL	 C104
C105_C	 T_CONA_BIOLOGICAL	 C105
C106_C	 T_CONA_BIOLOGICAL	 C106
C107_C	 T_CONA_BIOLOGICAL	 C107
C108_C	 T_CONA_BIOLOGICAL	 C108
C109_C	 T_CONA_BIOLOGICAL	 C109
C110_C	 T_CONA_BIOLOGICAL	 C110
C111_C	 T_CONA_BIOLOGICAL	 C111
C112_C	 T_CONA_BIOLOGICAL	 C112
C113_C	 T_CONA_BIOLOGICAL	 C113
C114_C	 T_CONA_BIOLOGICAL	 C114
C115_C	 T_CONA_BIOLOGICAL	 C115
C116_C	 T_CONA_BIOLOGICAL	 C116
C117_C	 T_CONA_BIOLOGICAL	 C117
C118_C	 T_CONA_BIOLOGICAL	 C118
C126_C	 T_CONA_BIOLOGICAL	 C126
C127_C	 T_CONA_BIOLOGICAL	 C127
C128_C	 T_CONA_BIOLOGICAL	 C128
A7-1_C	 T_ACTIN_BASIC	 A7-1
A7-2_C	 T_ACTIN_BASIC	 A7-2
A8-1_C	 T_ACTIN_BASIC	 A8-1
A8-2_C	 T_ACTIN_BASIC	 A8-2
A9_C	 T_ACTIN_BASIC	 A9
A101_C	 T_ACTIN_BIOLOGICAL	 A101
A102_C	 T_ACTIN_BIOLOGICAL	 A102
A103_C	 T_ACTIN_BIOLOGICAL	 A103
A104_C	 T_ACTIN_BIOLOGICAL	 A104
A120_C	 T_ACTIN_BIOLOGICAL	 A120
A121_C	 T_ACTIN_BIOLOGICAL	 A121
A122_C	 T_ACTIN_BIOLOGICAL	 A122
A123_C	 T_ACTIN_BIOLOGICAL	 A123
D14-1_C	 T_DAPI_BASIC	 D14-1
D14-2_C	 T_DAPI_BASIC	 D14-2
D14-3_C	 T_DAPI_BASIC	 D14-3
D15-1_C	 T_DAPI_BASIC	 D15-1
D15-2_C	 T_DAPI_BASIC	 D15-2
D15-3_C	 T_DAPI_BASIC	 D15-3
D16-1_C	 T_DAPI_BASIC	 D16-1
D16-2_C	 T_DAPI_BASIC	 D16-2
D16-3_C	 T_DAPI_BASIC	 D16-3
D17-1_C	 T_DAPI_BASIC	 D17-1
D17-2_C	 T_DAPI_BASIC	 D17-2
D103_C	 T_DAPI_BIOLOGICAL	 D103
D106_C	 T_DAPI_BIOLOGICAL	 D106
D108_C	 T_DAPI_BIOLOGICAL	 D108
D109_C	 T_DAPI_BIOLOGICAL	 D109
D112_C	 T_DAPI_BIOLOGICAL	 D112
D113_C	 T_DAPI_BIOLOGICAL	 D113
D116_C	 T_DAPI_BIOLOGICAL	 D116
D117_C	 T_DAPI_BIOLOGICAL	 D117
D119_C	 T_DAPI_BIOLOGICAL	 D119
D121_C	 T_DAPI_BIOLOGICAL	 D121
D123_C	 T_DAPI_BIOLOGICAL	 D123
D125_C	 T_DAPI_BIOLOGICAL	 D125
D128_C	 T_DAPI_BIOLOGICAL	 D128
D130_C	 T_DAPI_BIOLOGICAL	 D130
D131_C	 T_DAPI_BIOLOGICAL	 D131
D134_C	 T_DAPI_BIOLOGICAL	 D134
D135_C	 T_DAPI_BIOLOGICAL	 D135
D137_C	 T_DAPI_BIOLOGICAL	 D137
D139_C	 T_DAPI_BIOLOGICAL	 D139
D141_C	 T_DAPI_BIOLOGICAL	 D141
D143_C	 T_DAPI_BIOLOGICAL	 D143
D144_C	 T_DAPI_BIOLOGICAL	 D144
D145_C	 T_DAPI_BIOLOGICAL	 D145
D146_C	 T_DAPI_BIOLOGICAL	 D146
D147_C	 T_DAPI_BIOLOGICAL	 D147
D148_C	 T_DAPI_BIOLOGICAL	 D148
D149_C	 T_DAPI_BIOLOGICAL	 D149
D150_C	 T_DAPI_BIOLOGICAL	 D150
D151_C	 T_DAPI_BIOLOGICAL	 D151
D152_C	 T_DAPI_BIOLOGICAL	 D152
D153_C	 T_DAPI_BIOLOGICAL	 D153
D154_C	 T_DAPI_BIOLOGICAL	 D154
D155_C	 T_DAPI_BIOLOGICAL	 D155
D156_C	 T_DAPI_BIOLOGICAL	 D156
D157_C	 T_DAPI_BIOLOGICAL	 D157
D158_C	 T_DAPI_BIOLOGICAL	 D158
D159_C	 T_DAPI_BIOLOGICAL	 D159
D162_C	 T_DAPI_BIOLOGICAL	 D162
D163_C	 T_DAPI_BIOLOGICAL	 D163
D166_C	 T_DAPI_BIOLOGICAL	 D166
D167_C	 T_DAPI_BIOLOGICAL	 D167
D169_C	 T_DAPI_BIOLOGICAL	 D169
D170_C	 T_DAPI_BIOLOGICAL	 D170
D173_C	 T_DAPI_BIOLOGICAL	 D173
D174_C	 T_DAPI_BIOLOGICAL	 D174
D176_C	 T_DAPI_BIOLOGICAL	 D176
D177_C	 T_DAPI_BIOLOGICAL	 D177
D179_C	 T_DAPI_BIOLOGICAL	 D179
D180_C	 T_DAPI_BIOLOGICAL	 D180
D182_C	 T_DAPI_BIOLOGICAL	 D182
D183_C	 T_DAPI_BIOLOGICAL	 D183
D185_C	 T_DAPI_BIOLOGICAL	 D185
D186_C	 T_DAPI_BIOLOGICAL	 D186
D188_C	 T_DAPI_BIOLOGICAL	 D188
D189_C	 T_DAPI_BIOLOGICAL	 D189
D191_C	 T_DAPI_BIOLOGICAL	 D191
